rating_band,development_tae,development_lo,development_hi,development_n,validation_tae,validation_lo,validation_hi,validation_n
800-999,0.009149957620690317,-0.012420288881299117,0.03303748520592684,7010,0.004714439977359837,-0.01420290286879887,0.021559296139490067,6962
1000-1199,0.003099372208794454,-0.01181435083122833,0.021605310488494497,7668,0.015167106689486634,-0.0016945153690789848,0.030147193143061583,7951
1200-1399,0.014753807572062799,0.0007117367493337264,0.028114319960464793,9739,-0.008111366522181552,-0.023127644999043136,0.007182762393134375,8638
1400-1599,-0.00017824975627452692,-0.011895419700096707,0.013118501829946855,10507,0.008990167742147571,-0.0032812576927612456,0.02120670847430143,9110
1600-1799,0.00819056737152468,-0.003893723823430002,0.01926816494041064,8973,0.013823706356676626,3.979707276077837e-06,0.029688485930225578,8615
1800-1999,-0.00546751096701625,-0.018578726911442925,0.0067215723414546175,9819,0.008018345272489031,-0.005808354688174724,0.02572697803182561,7831
2000-2199,0.012840975939553854,-0.0008460414812053115,0.025914048847496658,10172,0.007457275929179231,-0.005650652057193748,0.02076594335711897,9026
2200-2399,0.02321522517658938,0.008761030052051165,0.03873163348454031,9767,0.014799194410708063,0.0010327557705467972,0.027222904465828177,8264
2400-2599,0.010896313532206206,0.00012787062117464938,0.021618312818285898,11484,0.016699837609550617,-0.002431966717974693,0.034053328598356906,8053
