rating_band,development_allocation_loss,development_lo,development_hi,development_n,validation_allocation_loss,validation_lo,validation_hi,validation_n
800-999,0.2718876011143767,0.2608586680783792,0.28230477798830134,7010,0.2567948025807582,0.24588321777191666,0.26833092357548094,6962
1000-1199,0.246867710366143,0.23721729073257045,0.25740281951756305,7668,0.2510048123207467,0.24155054615054328,0.2610558798386277,7951
1200-1399,0.23884165037077654,0.2316238508182921,0.24670838061916078,9739,0.2466919628914476,0.23791510762455112,0.25511370852284937,8638
1400-1599,0.2327032474619794,0.2247003341140784,0.24008007421663066,10507,0.23325542963468365,0.22462022795665748,0.24063618394841907,9110
1600-1799,0.22387252683096454,0.21662094343259533,0.23055639852075188,8973,0.2184549877620875,0.21067929112127634,0.2265249530881935,8615
1800-1999,0.23275859692191947,0.22382758001063563,0.24043522391396974,9819,0.2352673465844532,0.22647862979423747,0.24441526242755376,7831
2000-2199,0.2231867352667352,0.21586542287219831,0.2305730206572727,10172,0.2242624110796432,0.2174064767594781,0.23123963224276595,9026
2200-2399,0.22418313481680785,0.21709544246528828,0.23167575977853605,9767,0.22950948730323273,0.2214866311952773,0.23652551663068982,8264
2400-2599,0.22490071332037942,0.21757981420085054,0.23157042015270285,11484,0.23749088347039876,0.2299452323742823,0.24655515562462646,8053
