rating_band,development_extreme_ut_rate,development_lo,development_hi,development_n,validation_extreme_ut_rate,validation_lo,validation_hi,validation_n,final_extreme_ut_rate,final_lo,final_hi,final_n
800-999,0.06476462196861626,0.0579729459661325,0.0715336250735116,7010,0.05846021258259121,0.051982241511365476,0.06509760396944571,6962,0.059571088165210485,0.052743984004766924,0.06672753494330878,7554
1000-1199,0.05307772561293688,0.04793339877246834,0.05869751468006037,7668,0.05609357313545466,0.050091156762632705,0.06199093615717222,7951,0.04750088621056363,0.04218425708121466,0.052922304538003104,8463
1200-1399,0.04651401581271178,0.042472997845454497,0.05112739780819539,9739,0.050243111831442464,0.04429510810903926,0.0557911905181665,8638,0.04435233160621762,0.03995815869895772,0.04951138906035621,9650
1400-1599,0.04530313124583611,0.041429622596280115,0.04986383601820951,10507,0.048298572996706916,0.043542289439301274,0.053216888547656487,9110,0.046352012034599474,0.04218613347088127,0.05076906417308552,10636
1600-1799,0.04546974256101638,0.041562639684180815,0.049775757203155725,8973,0.03900174114915844,0.03507525232746304,0.04376842944064833,8615,0.04440377576574841,0.04026104771961783,0.049230141614271736,10382
1800-1999,0.04807006823505448,0.0435809460967927,0.0524778277032002,9819,0.04916358064104201,0.04433895263369696,0.05448773981322128,7831,0.04719175805915587,0.04275953096367901,0.05176313531545117,9027
2000-2199,0.04650019661816752,0.04269186140460518,0.05057904826717879,10172,0.04885885220474186,0.04430412202659903,0.05346400698477681,9026,0.052380398091025494,0.04690118908869396,0.05730781472491732,8591
2200-2399,0.050783249718439644,0.04644118100010384,0.05565100128833488,9767,0.05203291384317522,0.047067917456551145,0.05595265480847688,8264,0.05100591715976331,0.04585540997879721,0.05640430136663451,8450
2400-2599,0.05381400208986416,0.050327659778000834,0.05790316248579393,11484,0.05712156960139079,0.052235855119672596,0.0623250742375137,8053,0.0524179912073047,0.04746768845810222,0.05730970948045541,8871
