period,decisions,players,beta,beta_lo,beta_hi,tae_gradient,tae_lo,tae_hi
development,85139,2428,0.012696802888889903,0.011818061138750861,0.013670792426004956,0.0005578799503952382,-0.00040084371970998167,0.0014901595461176175
validation,74450,2142,0.014119238144463388,0.013084634121288337,0.015114682005496469,0.0007520330407533669,-0.00025006831123036574,0.001916872073103397
final,81624,2331,0.013419210887702484,0.012429412276264883,0.01431165795688802,0.0005318273002991697,-0.000335831578974248,0.0015099013877194812
