metric,point,lo,hi,status
beta,0.011374117244050708,0.011129883864876134,0.01159633610700233,NOT EVALUABLE: frozen models extrapolate at 5+0 (REPORT.md 9)
tae_rating_gradient,0.0009658818975186307,-0.004256556604805522,0.006067060362381194,NOT EVALUABLE: frozen models extrapolate at 5+0 (REPORT.md 9)
tae_spread_low_to_high,0.016433634482522885,-0.0793243134956157,0.11495608507475535,NOT EVALUABLE: frozen models extrapolate at 5+0 (REPORT.md 9)
metric_a_time_vs_rating,0.09946323963788721,0.09434620601949587,0.10524927276425028,NOT EVALUABLE: frozen models extrapolate at 5+0 (REPORT.md 9)
extreme_ut_vs_rating,-0.017595621693276865,-0.01847948488309359,-0.01673010213677862,NOT EVALUABLE: frozen models extrapolate at 5+0 (REPORT.md 9)
