rating_band,development_beta,development_lo,development_hi,development_n,validation_beta,validation_lo,validation_hi,validation_n,final_beta,final_lo,final_hi,final_n
800-999,0.015720839001315545,0.011298082912647825,0.019541880401461986,7010,0.014084069914353726,0.009240269192587951,0.018867986177150083,6962,0.012821704673574302,0.008481360896966834,0.017353415754264627,7554
1000-1199,0.02078846519373836,0.01653881456643052,0.02584111658429619,7668,0.01917812433364356,0.015013084087201626,0.023143301331128487,7951,0.014424998660331024,0.01121626709641792,0.01725212162642433,8463
1200-1399,0.013334944113250643,0.010052038959651002,0.016421516697996033,9739,0.015402762914220583,0.012053689227957552,0.01860029040486665,8638,0.016205087607453986,0.012956692475176303,0.01918229862367161,9650
1400-1599,0.014019773793478053,0.011297133768931428,0.016818725357176684,10507,0.016283232188171813,0.013326328123376871,0.019159752452758787,9110,0.015379097277531208,0.012757805618964238,0.018175332380489642,10636
1600-1799,0.011381595693633104,0.008572620538002437,0.014235495556580914,8973,0.012426417804297485,0.00957239225663882,0.015145508919336761,8615,0.01377344314768873,0.010866677623051938,0.01653381833715971,10382
1800-1999,0.011714536735464909,0.00906293552789854,0.014273517339209344,9819,0.012307580740233765,0.00976799274317671,0.015579509263326019,7831,0.013633607991079101,0.010382746141553677,0.016815383344487612,9027
2000-2199,0.010967863532661758,0.008868274252502743,0.013107700980889102,10172,0.014570334556247181,0.012187468915231694,0.016926362049502996,9026,0.01099965326319696,0.008717630577609272,0.013328983852067046,8591
2200-2399,0.008786373347520755,0.006791426844191491,0.011268881048540971,9767,0.013264069685090286,0.011095421109599464,0.015523288026745038,8264,0.012921207691690143,0.010572111991901991,0.015463148779074285,8450
2400-2599,0.01094633341756365,0.009225792514141113,0.01261547428936592,11484,0.010047443986438274,0.008034372313992443,0.01205793509864306,8053,0.0105047248198277,0.008663367547577516,0.012440508925718402,8871
